dataset,record_id,reason_code,action,detail
borrowers,BRW0007169,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006056,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011951,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0001711,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006587,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011415,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0005887,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009791,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008660,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009511,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004302,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0001066,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007409,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010790,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0000898,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004229,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0002637,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0000301,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0003765,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009930,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010374,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0005131,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0002310,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004193,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008286,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008746,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011117,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007021,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006000,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0002951,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009787,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004843,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007214,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004069,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008029,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010585,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008312,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0000196,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007769,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0005190,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006181,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011446,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011312,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0003859,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006680,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0005658,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010295,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0001386,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006250,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0004880,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009598,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007578,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0007235,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010565,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0006065,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0003156,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0003505,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0010304,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0008334,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0009215,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0005326,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
borrowers,BRW0011852,EXACT_DUPLICATE,REJECT,Exact duplicate borrower snapshot removed.
