call_id,account_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,source_row_number,exact_duplicate_flag,call_id_rows,call_accounts,call_times,call_agents,call_statuses,call_id_conflict_flag,borrower_resolution_rule,borrower_id,borrower_id_mismatch_flag,account_missing_flag,raw_borrower_id,event_timezone_present_flag,event_at_utc
CALL0000001,ACC0011505,2026-07-15 15:36:22,AGT0000955,CMP0000015,OUTBOUND,VND0000013,NO_ANSWER,601,Asia/Dubai,1,False,1,1,1,1,1,0,account_master,BRW0004617,1,0,BRW0007139,1,2026-07-15 11:36:22
CALL0000002,ACC0002025,2026-06-10 06:48:27,AGT0000853,CMP0000060,OUTBOUND,VND0000001,ANSWERED,224,Asia/Kolkata,2,False,1,1,1,1,1,0,account_master,BRW0000115,1,0,BRW0006253,1,2026-06-10 01:18:27
CALL0000003,ACC0013375,2026-04-07 00:35:35,AGT0000525,CMP0000060,OUTBOUND,VND0000008,FAILED,7,Asia/Dubai,3,False,1,1,1,1,1,0,account_master,BRW0011598,1,0,BRW0007663,1,2026-04-06 20:35:35
CALL0000004,ACC0021534,2026-02-12 14:16:57,AGT0000945,CMP0000060,OUTBOUND,VND0000001,VOICEMAIL,896,Asia/Dubai,4,False,1,1,1,1,1,0,account_master,BRW0001028,1,0,BRW0008873,1,2026-02-12 10:16:57
CALL0000005,ACC0018502,2026-05-24 15:33:12,AGT0000966,CMP0000053,OUTBOUND,VND0000006,ANSWERED,711,Asia/Kolkata,5,False,1,1,1,1,1,0,account_master,BRW0005900,1,0,BRW0004996,1,2026-05-24 10:03:12
CALL0000006,ACC0011855,2026-02-04 11:37:08,AGT0000864,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,18,Asia/Dubai,6,False,1,1,1,1,1,0,account_master,BRW0010971,1,0,BRW0010726,1,2026-02-04 07:37:08
CALL0000007,ACC0027278,2026-02-10 10:59:05,AGT0000524,CMP0000001,OUTBOUND,VND0000009,VOICEMAIL,825,Asia/Kolkata,7,False,1,1,1,1,1,0,account_master,BRW0007769,1,0,BRW0005268,1,2026-02-10 05:29:05
CALL0000008,ACC0007144,2026-06-14 23:37:56,AGT0000615,CMP0000115,OUTBOUND,VND0000003,VOICEMAIL,437,Asia/Dubai,8,False,1,1,1,1,1,0,account_master,BRW0002816,1,0,BRW0001246,1,2026-06-14 19:37:56
CALL0000009,ACC0003902,2026-03-17 16:24:42,AGT0000585,CMP0000090,OUTBOUND,VND0000012,VOICEMAIL,318,UTC,9,False,1,1,1,1,1,0,account_master,BRW0007963,1,0,BRW0010076,1,2026-03-17 16:24:42
CALL0000010,ACC0009188,2026-06-24 04:26:34,AGT0000238,CMP0000092,OUTBOUND,VND0000014,ANSWERED,260,UTC,10,False,1,1,1,1,1,0,account_master,BRW0007074,1,0,BRW0010503,1,2026-06-24 04:26:34
