payment_id,account_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id,source_row_number,exact_duplicate_flag,payment_id_rows,payment_accounts,payment_times,payment_statuses,payment_id_conflict_flag,borrower_resolution_rule,borrower_id,borrower_id_mismatch_flag,account_missing_flag,raw_borrower_id,reference_row_count,reference_account_count,payment_reference_collision_flag,is_valid_recovery,event_at_utc
PAYMENT0000001,ACC0015539,2026-02-27 01:28:12,TXN0000007457,22433.23,FAILED,CARD,VND0000001,1,False,1,1,1,1,0,account_master,BRW0010501,1,0,BRW0011363,1.0,1.0,0,0,2026-02-27 01:28:12
PAYMENT0000002,ACC0004445,2026-07-23 20:25:20,TXN0000030016,23295.11,FAILED,UPI,VND0000004,2,False,1,1,1,1,0,account_master,BRW0003278,1,0,BRW0011306,1.0,1.0,0,0,2026-07-23 20:25:20
PAYMENT0000003,ACC0003853,2026-01-11 21:27:46,TXN0000010466,118814.97,FAILED,NACH,VND0000013,3,False,1,1,1,1,0,account_master,BRW0007156,1,0,BRW0002549,2.0,2.0,1,0,2026-01-11 21:27:46
PAYMENT0000004,ACC0017531,2026-06-16 02:35:21,TXN0000031781,145082.17,REVERSED,CASH,VND0000013,4,False,1,1,1,1,0,account_master,BRW0001549,1,0,BRW0006618,1.0,1.0,0,0,2026-06-16 02:35:21
PAYMENT0000005,ACC0001770,2026-03-03 06:08:23,TXN0000059257,115148.46,SUCCESS,NETBANKING,VND0000013,5,False,1,1,1,1,0,account_master,BRW0008515,1,0,BRW0011492,1.0,1.0,0,1,2026-03-03 06:08:23
PAYMENT0000006,ACC0002408,2026-05-25 10:59:51,TXN0000052202,142468.84,SUCCESS,CARD,VND0000012,6,False,1,1,1,1,0,account_master,BRW0008668,1,0,BRW0009136,1.0,1.0,0,1,2026-05-25 10:59:51
PAYMENT0000007,ACC0017147,2026-05-08 11:45:34,TXN0000050767,79641.72,SUCCESS,NETBANKING,VND0000008,7,False,1,1,1,1,0,account_master,BRW0006632,1,0,BRW0004710,1.0,1.0,0,1,2026-05-08 11:45:34
PAYMENT0000008,ACC0027360,2026-01-16 08:37:42,TXN0000061682,80638.15,SUCCESS,CARD,VND0000009,8,False,1,1,1,1,0,account_master,BRW0006467,1,0,BRW0008644,2.0,2.0,1,1,2026-01-16 08:37:42
PAYMENT0000009,ACC0005092,2026-03-31 08:11:38,TXN0000046720,75028.44,SUCCESS,CASH,VND0000003,9,False,1,1,1,1,0,account_master,BRW0005156,1,0,BRW0003019,1.0,1.0,0,1,2026-03-31 08:11:38
PAYMENT0000010,ACC0011343,2026-07-20 20:51:33,TXN0000031163,80004.84,SUCCESS,UPI,VND0000005,10,False,1,1,1,1,0,account_master,BRW0002725,1,0,BRW0010947,1.0,1.0,0,1,2026-07-20 20:51:33
PAYMENT0000011,ACC0022813,2026-06-13 10:49:29,TXN0000066098,27561.35,SUCCESS,UPI,VND0000010,11,False,1,1,1,1,0,account_master,BRW0007982,1,0,BRW0011517,1.0,1.0,0,1,2026-06-13 10:49:29
PAYMENT0000012,ACC0008138,2026-03-13 17:05:25,TXN0000046491,116971.89,REVERSED,NETBANKING,VND0000001,12,False,1,1,1,1,0,account_master,BRW0009324,1,0,BRW0000540,1.0,1.0,0,0,2026-03-13 17:05:25
PAYMENT0000013,ACC0026504,2026-05-06 22:30:42,,41543.11,SUCCESS,CARD,VND0000013,13,False,1,1,1,1,0,account_master,BRW0000137,1,0,BRW0009822,,,0,1,2026-05-06 22:30:42
PAYMENT0000014,ACC0017077,2026-03-08 16:59:47,TXN0000065948,12762.88,SUCCESS,NETBANKING,VND0000009,14,False,1,1,1,1,0,account_master,BRW0003882,1,0,BRW0011703,1.0,1.0,0,1,2026-03-08 16:59:47
PAYMENT0000015,ACC0003730,2026-01-25 08:23:30,TXN0000012250,15237.53,SUCCESS,CARD,VND0000003,15,False,1,1,1,1,0,account_master,BRW0003049,1,0,BRW0000271,1.0,1.0,0,1,2026-01-25 08:23:30
PAYMENT0000016,ACC0005478,2026-06-30 06:27:32,TXN0000030836,128395.49,SUCCESS,UPI,VND0000015,16,False,1,1,1,1,0,account_master,BRW0001809,1,0,BRW0009233,1.0,1.0,0,1,2026-06-30 06:27:32
PAYMENT0000017,ACC0025191,2026-06-02 12:36:12,TXN0000034871,112272.64,SUCCESS,NETBANKING,VND0000011,17,False,1,1,1,1,0,account_master,BRW0008426,1,0,BRW0000862,1.0,1.0,0,1,2026-06-02 12:36:12
PAYMENT0000018,ACC0000379,2026-06-15 08:11:44,TXN0000063434,18292.79,SUCCESS,NACH,VND0000008,18,False,1,1,1,1,0,account_master,BRW0002465,1,0,BRW0002519,1.0,1.0,0,1,2026-06-15 08:11:44
PAYMENT0000019,ACC0028404,2026-02-19 22:42:24,TXN0000040964,102897.37,SUCCESS,NETBANKING,VND0000015,19,False,1,1,1,1,0,account_master,BRW0001748,1,0,BRW0011115,1.0,1.0,0,1,2026-02-19 22:42:24
PAYMENT0000020,ACC0022251,2026-01-10 19:06:03,TXN0000027006,144661.69,REVERSED,CARD,VND0000003,20,False,1,1,1,1,0,account_master,BRW0007176,1,0,BRW0011071,1.0,1.0,0,0,2026-01-10 19:06:03
PAYMENT0000021,ACC0021407,2026-05-06 06:27:56,TXN0000066590,145099.11,SUCCESS,NACH,VND0000003,21,False,1,1,1,1,0,account_master,BRW0005938,1,0,BRW0000136,1.0,1.0,0,1,2026-05-06 06:27:56
PAYMENT0000022,ACC0013552,2026-07-04 23:55:34,TXN0000057611,46845.47,PENDING,UPI,VND0000010,22,False,1,1,1,1,0,account_master,BRW0001826,1,0,BRW0009466,1.0,1.0,0,0,2026-07-04 23:55:34
PAYMENT0000023,ACC0017680,2026-02-14 05:51:53,TXN0000059767,139033.39,SUCCESS,NACH,VND0000005,23,False,1,1,1,1,0,account_master,BRW0000385,1,0,BRW0008221,1.0,1.0,0,1,2026-02-14 05:51:53
PAYMENT0000024,ACC0016623,2026-01-26 20:49:12,TXN0000068205,7887.61,FAILED,CASH,VND0000005,24,False,1,1,1,1,0,account_master,BRW0005041,1,0,BRW0004516,2.0,2.0,1,0,2026-01-26 20:49:12
PAYMENT0000025,ACC0016158,2026-05-23 15:23:07,TXN0000007142,26782.35,SUCCESS,UPI,VND0000011,25,False,1,1,1,1,0,account_master,BRW0010812,1,0,BRW0000293,1.0,1.0,0,1,2026-05-23 15:23:07
PAYMENT0000026,ACC0017181,2026-02-07 23:29:31,TXN0000067314,6660.28,PENDING,NACH,VND0000013,26,False,1,1,1,1,0,account_master,BRW0006909,1,0,BRW0005542,1.0,1.0,0,0,2026-02-07 23:29:31
PAYMENT0000027,ACC0025045,2026-06-22 11:53:42,TXN0000026155,126430.03,SUCCESS,CARD,VND0000013,27,False,1,1,1,1,0,account_master,BRW0006935,1,0,BRW0007439,1.0,1.0,0,1,2026-06-22 11:53:42
PAYMENT0000028,ACC0028651,2026-05-24 23:43:17,TXN0000028567,74205.3,REVERSED,CARD,VND0000001,28,False,1,1,1,1,0,account_master,BRW0010844,1,0,BRW0011101,2.0,2.0,1,0,2026-05-24 23:43:17
PAYMENT0000029,ACC0001438,2026-07-30 13:56:31,TXN0000028751,119423.32,SUCCESS,UPI,VND0000001,29,False,1,1,1,1,0,account_master,BRW0009896,1,0,BRW0009880,1.0,1.0,0,1,2026-07-30 13:56:31
PAYMENT0000030,ACC0002796,2026-04-07 17:43:51,TXN0000008881,107924.04,SUCCESS,CASH,VND0000008,30,False,1,1,1,1,0,account_master,BRW0007593,1,0,BRW0002661,1.0,1.0,0,1,2026-04-07 17:43:51
PAYMENT0000031,ACC0006749,2026-07-07 16:36:43,TXN0000022660,16764.69,SUCCESS,NETBANKING,VND0000003,31,False,1,1,1,1,0,account_master,BRW0008648,1,0,BRW0010349,1.0,1.0,0,1,2026-07-07 16:36:43
PAYMENT0000032,ACC0025921,2026-02-27 09:24:31,TXN0000033075,1416.01,FAILED,NACH,VND0000003,32,False,1,1,1,1,0,account_master,BRW0010354,1,0,BRW0005481,1.0,1.0,0,0,2026-02-27 09:24:31
PAYMENT0000033,ACC0024587,2026-05-14 07:30:20,TXN0000063530,74516.08,FAILED,CARD,VND0000008,33,False,1,1,1,1,0,account_master,BRW0011736,1,0,BRW0010151,1.0,1.0,0,0,2026-05-14 07:30:20
PAYMENT0000034,ACC0024694,2026-05-31 18:38:13,TXN0000035338,57677.55,SUCCESS,NACH,VND0000002,34,False,1,1,1,1,0,account_master,BRW0006435,1,0,BRW0010355,1.0,1.0,0,1,2026-05-31 18:38:13
PAYMENT0000035,ACC0015056,2026-01-10 12:44:10,TXN0000055836,37838.14,SUCCESS,NACH,VND0000008,35,False,1,1,1,1,0,account_master,BRW0009188,1,0,BRW0010024,2.0,2.0,1,1,2026-01-10 12:44:10
PAYMENT0000036,ACC0005478,2026-06-15 07:01:26,TXN0000001480,78270.05,PENDING,NACH,VND0000004,36,False,1,1,1,1,0,account_master,BRW0001809,1,0,BRW0006165,1.0,1.0,0,0,2026-06-15 07:01:26
PAYMENT0000037,ACC0019433,2026-03-29 07:09:14,TXN0000031615,26255.04,REVERSED,NACH,VND0000002,37,False,1,1,1,1,0,account_master,BRW0009454,1,0,BRW0000459,1.0,1.0,0,0,2026-03-29 07:09:14
PAYMENT0000038,ACC0019855,2026-07-13 08:49:29,TXN0000031736,96614.79,SUCCESS,UPI,VND0000006,38,False,1,1,1,1,0,account_master,BRW0008976,1,0,BRW0008279,1.0,1.0,0,1,2026-07-13 08:49:29
PAYMENT0000039,ACC0012581,2026-06-19 04:58:51,TXN0000049765,21486.61,SUCCESS,NACH,VND0000007,39,False,1,1,1,1,0,account_master,BRW0005074,1,0,BRW0000027,2.0,2.0,1,1,2026-06-19 04:58:51
PAYMENT0000040,ACC0010832,2026-04-16 06:56:09,TXN0000000566,144290.21,SUCCESS,UPI,VND0000005,40,False,1,1,1,1,0,account_master,BRW0006228,1,0,BRW0001343,1.0,1.0,0,1,2026-04-16 06:56:09
PAYMENT0000041,ACC0025956,2026-04-28 22:03:24,TXN0000053937,94558.06,SUCCESS,CARD,VND0000011,41,False,1,1,1,1,0,account_master,BRW0002657,1,0,BRW0010110,1.0,1.0,0,1,2026-04-28 22:03:24
PAYMENT0000042,ACC0009797,2026-06-11 02:06:40,TXN0000027687,18096.51,SUCCESS,NACH,VND0000008,42,False,1,1,1,1,0,account_master,BRW0005551,1,0,BRW0009287,1.0,1.0,0,1,2026-06-11 02:06:40
PAYMENT0000043,ACC0014270,2026-02-22 18:27:14,TXN0000015829,55667.11,FAILED,NACH,VND0000009,43,False,1,1,1,1,0,account_master,BRW0002003,1,0,BRW0001356,2.0,2.0,1,0,2026-02-22 18:27:14
PAYMENT0000044,ACC0015075,2026-06-02 12:02:25,TXN0000034009,24965.91,SUCCESS,NACH,VND0000004,44,False,1,1,1,1,0,account_master,BRW0007722,1,0,BRW0007104,1.0,1.0,0,1,2026-06-02 12:02:25
PAYMENT0000045,ACC0019329,2026-04-06 18:52:28,TXN0000016905,45538.35,SUCCESS,NACH,VND0000013,45,False,1,1,1,1,0,account_master,BRW0004071,1,0,BRW0010222,1.0,1.0,0,1,2026-04-06 18:52:28
PAYMENT0000046,ACC0028983,2026-04-17 06:26:52,TXN0000042379,125117.22,REVERSED,NACH,VND0000015,46,False,1,1,1,1,0,account_master,BRW0003643,1,0,BRW0010609,1.0,1.0,0,0,2026-04-17 06:26:52
PAYMENT0000047,ACC0006578,2026-05-28 09:56:49,TXN0000067037,15939.02,FAILED,CARD,VND0000002,47,False,1,1,1,1,0,account_master,BRW0005446,1,0,BRW0009321,3.0,3.0,1,0,2026-05-28 09:56:49
PAYMENT0000048,ACC0002536,2026-06-17 01:15:38,TXN0000017025,142833.99,SUCCESS,NETBANKING,VND0000002,48,False,1,1,1,1,0,account_master,BRW0000841,1,0,BRW0000889,1.0,1.0,0,1,2026-06-17 01:15:38
PAYMENT0000049,ACC0020737,2026-02-27 16:41:48,TXN0000029967,58541.48,SUCCESS,CARD,VND0000002,49,False,1,1,1,1,0,account_master,BRW0005244,1,0,BRW0005627,1.0,1.0,0,1,2026-02-27 16:41:48
PAYMENT0000050,ACC0013852,2026-08-07 14:12:29,TXN0000044041,57995.58,FAILED,NACH,VND0000014,50,False,1,1,1,1,0,account_master,BRW0007389,1,0,BRW0001708,1.0,1.0,0,0,2026-08-07 14:12:29
PAYMENT0000051,ACC0010133,2026-03-29 04:54:31,TXN0000065478,106757.4,SUCCESS,NETBANKING,VND0000006,51,False,1,1,1,1,0,account_master,BRW0007755,1,0,BRW0010684,2.0,2.0,1,1,2026-03-29 04:54:31
PAYMENT0000052,ACC0020506,2026-07-27 17:32:01,TXN0000023943,112312.54,FAILED,NACH,VND0000008,52,False,1,1,1,1,0,account_master,BRW0003528,1,0,BRW0007395,1.0,1.0,0,0,2026-07-27 17:32:01
PAYMENT0000053,ACC0003274,2026-03-24 08:21:06,TXN0000010690,21894.45,SUCCESS,CASH,VND0000013,53,False,1,1,1,1,0,account_master,BRW0000836,1,0,BRW0002281,2.0,2.0,1,1,2026-03-24 08:21:06
PAYMENT0000054,ACC0022721,2026-01-31 02:24:36,TXN0000009562,100390.75,SUCCESS,UPI,VND0000009,54,False,1,1,1,1,0,account_master,BRW0002279,1,0,BRW0004668,1.0,1.0,0,1,2026-01-31 02:24:36
PAYMENT0000055,ACC0027754,2026-06-06 09:04:27,TXN0000022884,13040.92,SUCCESS,NETBANKING,VND0000015,55,False,1,1,1,1,0,account_master,BRW0009977,1,0,BRW0006092,2.0,2.0,1,1,2026-06-06 09:04:27
PAYMENT0000056,ACC0019495,2026-02-24 09:33:29,TXN0000008612,77982.73,PENDING,NETBANKING,VND0000007,56,False,1,1,1,1,0,account_master,BRW0006656,1,0,BRW0009716,1.0,1.0,0,0,2026-02-24 09:33:29
PAYMENT0000057,ACC0019516,2026-03-09 21:17:19,TXN0000041848,125614.94,SUCCESS,NETBANKING,VND0000009,57,False,1,1,1,1,0,account_master,BRW0009995,1,0,BRW0007566,2.0,2.0,1,1,2026-03-09 21:17:19
PAYMENT0000058,ACC0010953,2026-07-14 06:55:29,TXN0000066952,131153.86,FAILED,CASH,VND0000001,58,False,1,1,1,1,0,account_master,BRW0006673,1,0,BRW0003804,2.0,2.0,1,0,2026-07-14 06:55:29
PAYMENT0000059,ACC0026713,2026-01-31 16:06:00,TXN0000003779,99210.03,SUCCESS,NACH,VND0000010,59,False,1,1,1,1,0,account_master,BRW0002871,1,0,BRW0008454,1.0,1.0,0,1,2026-01-31 16:06:00
PAYMENT0000060,ACC0021307,2026-04-19 12:29:59,TXN0000043668,103316.09,SUCCESS,CASH,VND0000002,60,False,1,1,1,1,0,account_master,BRW0008672,1,0,BRW0011070,1.0,1.0,0,1,2026-04-19 12:29:59
PAYMENT0000061,ACC0007981,2026-02-06 00:15:08,TXN0000057506,132415.76,SUCCESS,UPI,VND0000014,61,False,1,1,1,1,0,account_master,BRW0000340,1,0,BRW0006143,1.0,1.0,0,1,2026-02-06 00:15:08
PAYMENT0000062,ACC0000673,2026-05-14 01:00:41,TXN0000020511,9328.84,SUCCESS,NACH,VND0000005,62,False,1,1,1,1,0,account_master,BRW0009727,1,0,BRW0011292,1.0,1.0,0,1,2026-05-14 01:00:41
PAYMENT0000063,ACC0022545,2026-05-28 19:13:48,TXN0000030347,106733.8,SUCCESS,CASH,VND0000010,63,False,1,1,1,1,0,account_master,BRW0011614,1,0,BRW0006656,2.0,2.0,1,1,2026-05-28 19:13:48
PAYMENT0000064,ACC0009453,2026-01-27 12:43:12,TXN0000003189,83181.89,SUCCESS,UPI,VND0000011,64,False,1,1,1,1,0,account_master,BRW0008744,1,0,BRW0011824,3.0,3.0,1,1,2026-01-27 12:43:12
PAYMENT0000065,ACC0028084,2026-07-07 15:59:57,TXN0000020314,24854.56,REVERSED,UPI,VND0000007,65,False,1,1,1,1,0,account_master,BRW0004510,1,0,BRW0008200,3.0,3.0,1,0,2026-07-07 15:59:57
PAYMENT0000066,ACC0009782,2026-07-09 02:33:48,TXN0000013410,7473.12,SUCCESS,NETBANKING,VND0000001,66,False,1,1,1,1,0,account_master,BRW0011512,1,0,BRW0004840,2.0,2.0,1,1,2026-07-09 02:33:48
PAYMENT0000067,ACC0011857,2026-01-28 20:35:09,TXN0000032706,123534.36,SUCCESS,CASH,VND0000015,67,False,1,1,1,1,0,account_master,BRW0000022,1,0,BRW0001056,1.0,1.0,0,1,2026-01-28 20:35:09
PAYMENT0000068,ACC0024968,2026-01-12 05:31:41,TXN0000064617,147594.13,SUCCESS,NACH,VND0000006,68,False,1,1,1,1,0,account_master,BRW0007763,1,0,BRW0002468,1.0,1.0,0,1,2026-01-12 05:31:41
PAYMENT0000069,ACC0021627,2026-07-02 02:11:50,TXN0000069656,30716.52,SUCCESS,NACH,VND0000006,69,False,1,1,1,1,0,account_master,BRW0006778,1,0,BRW0004184,1.0,1.0,0,1,2026-07-02 02:11:50
PAYMENT0000070,ACC0000971,2026-03-04 14:22:37,TXN0000019212,77453.18,SUCCESS,UPI,VND0000004,70,False,1,1,1,1,0,account_master,BRW0002596,1,0,BRW0002574,1.0,1.0,0,1,2026-03-04 14:22:37
PAYMENT0000071,ACC0009260,2026-07-03 12:27:02,TXN0000026230,76552.14,SUCCESS,UPI,VND0000001,71,False,1,1,1,1,0,account_master,BRW0009813,1,0,BRW0006908,2.0,2.0,1,1,2026-07-03 12:27:02
PAYMENT0000072,ACC0019393,2026-05-20 06:23:21,TXN0000058455,5607.77,SUCCESS,NETBANKING,VND0000006,72,False,1,1,1,1,0,account_master,BRW0009127,1,0,BRW0006839,1.0,1.0,0,1,2026-05-20 06:23:21
PAYMENT0000073,ACC0022720,2026-06-24 20:12:31,TXN0000007473,52144.98,FAILED,CARD,VND0000004,73,False,1,1,1,1,0,account_master,BRW0000437,1,0,BRW0009066,1.0,1.0,0,0,2026-06-24 20:12:31
PAYMENT0000074,ACC0023810,2026-05-18 14:07:16,TXN0000020871,90234.93,FAILED,UPI,VND0000015,74,False,1,1,1,1,0,account_master,BRW0002093,1,0,BRW0003026,1.0,1.0,0,0,2026-05-18 14:07:16
PAYMENT0000075,ACC0011649,2026-05-02 17:21:34,TXN0000063555,15950.65,SUCCESS,NETBANKING,VND0000011,75,False,1,1,1,1,0,account_master,BRW0005695,1,0,BRW0008821,1.0,1.0,0,1,2026-05-02 17:21:34
PAYMENT0000076,ACC0027928,2026-02-05 17:14:30,TXN0000006417,43712.91,PENDING,UPI,VND0000014,76,False,1,1,1,1,0,account_master,BRW0010764,1,0,BRW0010869,1.0,1.0,0,0,2026-02-05 17:14:30
